Sentence,Language,Structure,Tense
"He will start his new job on Monday, which he has been looking forward to.",English,Complex,Future
What a loud splash the fish makes!,English,Simple,Present
"I painted my bedroom walls because I wanted a fresh look, and the new color brightened the room.",English,Compound-complex,Past
"Don’t forget to bring your umbrella, or you’ll get wet.",English,Compound,Present
তুমি অন্যরা কথা বলার সময় কথা বলবে না।,Bangla,Simple,Future
"তোমার নাম কাগজে লেখো, যাতে তোমার কাজ চিহ্নিত করা যায়।",Bangla,Compound,Present
"পড়ার সময় মাঝে মাঝে বিরতি নাও, আর তাড়াতাড়ি হলেও শরীর স্ট্রেচ করো।",Bangla,Compound-complex,Present
"গাড়িগুলো ঠিক করো, বাবা, আর যখন মেরামত করো তখন ব্রেকগুলো ভালোভাবে পরীক্ষা করে নিও।",Bangla,Compound-complex,Present
কী তাজা বাতাস দিনটাকে ঠাণ্ডা করছে!,Bangla,Simple,Present
"সে ঘুমানোর আগে একটি অধ্যায় পড়ে, আর এতে তার আরাম লাগে।",Bangla,Compound,Present
মেঝে পিচ্ছিল হলেও বিড়ালটি কতটা সাবধানে চলে!,Bangla,Complex,Present
"তারা কি এমন বাড়িতে থাকে যা স্কুলের কাছে, নাকি অনেক দূর থেকে যাতায়াত করে?",Bangla,Compound-complex,Present
বাগানটা কত মিষ্টি গন্ধ ছড়াচ্ছে!,Bangla,Simple,Present
What a soft blanket I have that keeps me warm during chilly nights!,English,Complex,Present
তোমার পালার জন্য লাইনে দাঁড়াও।,Bangla,Simple,Present
You will not jump on the furniture.,English,Simple,Future
Do you know whether the river flows fast?,English,Complex,Present
বাতাস বেশি থাকলে জানালা বন্ধ করো।,Bangla,Simple,Present
He works from home on Fridays.,English,Simple,Present
"তুমি কি ঘুমানোর আগে বই পড়ো, নিজেকে শান্ত করার জন্য?",Bangla,Complex,Present
"তারা টিকিটের জন্য লাইনে অপেক্ষা করেছিল কারণ কনসার্টটি খুব জনপ্রিয় ছিল, এবং লাইনটি ছিল খুব লম্বা।",Bangla,Compound-complex,Past
"শিশুটি আয়নায় নিজের প্রতিচ্ছবি দেখে হেসে ফেলেছিল, কারণ সে নিজেকে দেখেছিল।",Bangla,Compound,Past
"সে কি সমুদ্রে সাঁতার কাটতে পছন্দ করে, নাকি পানি ঠান্ডা হলে সুইমিং পুল পছন্দ করে?",Bangla,Compound-complex,Present
He will walk to the store when the sun goes down.,English,Complex,Future
তুমি কত উজ্জ্বল হাসি শেয়ার করছো!,Bangla,Simple,Present
He listens to podcasts while jogging.,English,Simple,Present
Eat your vegetables every day.,English,Simple,Present
ঘরটা কত মধুর সুরে ভরে গেছে!,Bangla,Simple,Present
The cat slept on the windowsill because it was sunny.,English,Complex,Past
What a bright lantern lights the path as we walk through the forest!,English,Complex,Present
"যখন কেউ আশা করে না, তুমি কত দারুণ উপহার আনো, এবং নতুন পরিচয় হলেও কত নিখুঁতভাবে অনুষ্ঠানকে মানায়!",Bangla,Compound-complex,Present
Do we meet at the café on Fridays when everyone is free?,English,Complex,Present
"আমরা রবিবার বাড়ি পরিষ্কার করব, এবং একসাথে করব যাতে দ্রুত হয় এবং মজাও লাগে।",Bangla,Compound-complex,Future
Do you know whether she studies biology?,English,Complex,Present
"আমি রবিবার ঘাস কেটেছিলাম, আর ঘাস অনেক বেড়ে গিয়েছিল।",Bangla,Compound,Past
"He shaved, and it was before the interview.",English,Compound,Past
"প্রতিদিন স্কুলে হাঁটো, তবে বৃষ্টি হলে গাড়ি নাও।",Bangla,Compound,Present
Do they enjoy camping?,English,Simple,Present
"সে কি বৃষ্টি হলে টুপি পরে, নাকি ছাতা ব্যবহার করে?",Bangla,Compound,Present
তোমার হাসিটা কত সুন্দর!,Bangla,Simple,Present
তুমি কি ব্যাখ্যা করতে পারো সে কি বাসে স্কুলে যায়?,Bangla,Complex,Present
সে কি বাড়িতে তার বাবা-মাকে সাহায্য করে?,Bangla,Simple,Present
"I drink a smoothie in the morning, so I have energy for the day.",English,Compound,Present
Does the baby smile at strangers?,English,Simple,Present
"তারা তাদের বাইক পরিষ্কার করে, আর সেগুলো ভালো অবস্থায় রাখে।",Bangla,Compound,Present
"তুমি কি সপ্তাহান্তে কাজ করো যখন অতিরিক্ত কাজ থাকে, এবং তুমি কি পরে ক্লান্ত অনুভব করো?",Bangla,Compound-complex,Present
তুমি কি জানো সে কি কবিতা লেখে?,Bangla,Complex,Present
Do you know whether the wind blows strongly today?,English,Complex,Present
"We walk our dog in the park, but it’s raining lightly.",English,Compound,Present
গাড়িতে সিটবেল্ট পরো।,Bangla,Simple,Present
"সন্ধ্যা ৭টায় ডিনার খাও, এবং পরে টেবিল পরিষ্কার করো।",Bangla,Compound,Present
Birds will sing in the early morning after the sun rises.,English,Complex,Future
সে গতকাল চকলেট কেক বানিয়েছিল কারণ তা ছিল তার বন্ধুর জন্মদিন।,Bangla,Complex,Past
What a smooth path led through the forest!,English,Simple,Past
"কত পরিষ্কার পাহাড়ের বাতাস লাগে, আর কত শুদ্ধ জল স্বাদ লাগে যখন তুমি গভীর শ্বাস নাও!",Bangla,Compound-complex,Present
"What a soft kitten curls up, and how quietly it purrs on my lap!",English,Compound,Present
"তুমি কি ইতালীয় খাবার রান্না উপভোগ করো, না কি অন্য রান্না পছন্দ করো?",Bangla,Compound,Present
"Help your parents with chores, and thank them for their help too.",English,Compound,Present
আমি বের হওয়ার আগে দরজা তালাবদ্ধ করব।,Bangla,Simple,Future
সংগঠিত থাকতে প্রতিদিন তোমার প্ল্যানার ব্যবহার করো।,Bangla,Complex,Present
"ঘড়ি বারোটা বাজবে, এবং তারা আতশবাজি দেখবে।",Bangla,Compound,Future
Enjoy the peacefulness of the garden that blooms so colorfully!,English,Complex,Present
"Water the garden twice a week, and keep the plants healthy.",English,Compound,Present
They eat lunch at noon when the bell rings.,English,Complex,Present
"সে লিক করা নলের খুঁটি মেরামত করেছিল যদিও তার কাছে কোনো হাতিয়ার ছিল না, এবং তা ফোঁটা বন্ধ হয়ে গিয়েছিল।",Bangla,Compound-complex,Past
"She will paint the fence next weekend, because it needs a fresh coat.",English,Compound,Future
"আমরা নিয়মিত জিমে ব্যায়াম করি, এবং প্রতি সপ্তাহে শক্তিশালী বোধ করি।",Bangla,Compound,Present
ঝড় এগিয়ে এলে ঢেউগুলো তীরে কত জোরে আছড়ে পড়ে!,Bangla,Complex,Present
"সে বিশ্বাস করে গাছের সঙ্গে কথা বললে সেগুলো ভালো বাড়ে, তাই সে প্রতিদিন নিজের গাছের সঙ্গে কথা বলে।",Bangla,Compound,Present
"I have spare bread, and I feed the birds in the yard whenever I remember to bring it outside.",English,Compound-complex,Present
স্টোর সকাল ১০টায় খুলবে কারণ কর্মীদের প্রস্তুতির সময় দরকার।,Bangla,Complex,Future
তুমি কখন রাতের খাবার খাও?,Bangla,Simple,Present
"সে কি ভালো গিটার বাজায় কারণ প্রতিদিন অনুশীলন করে, নাকি কোনো প্রশিক্ষণ ছাড়াই মজা করে বাজায়?",Bangla,Compound-complex,Present
তুমি কি জানো জন কি গতকাল কাজে গাড়ি চালিয়ে গিয়েছিল?,Bangla,Complex,Present
ক্লান্ত হলে একটু বিশ্রাম নাও।,Bangla,Simple,Present
"সে ম্যাগাজিন পড়ে, আর অ্যাপয়েন্টমেন্টের জন্য অপেক্ষা করে।",Bangla,Compound,Present
We played board games on rainy days.,English,Simple,Past
"We listen to music while cooking, and we sing along even if we’re off key.",English,Compound-complex,Present
How regularly I drank water every morning!,English,Simple,Past
"কত আরামদায়ক আগুন ঘরকে গরম করে, এবং শিখাগুলো কত কোমলভাবে নাচে!",Bangla,Compound,Present
ব্যবহারের পর কম্পিউটার বন্ধ করো।,Bangla,Simple,Present
"সে কি সপ্তাহান্তে ঘর পরিষ্কার করে, নাকি সময় পেলে সপ্তাহে করে?",Bangla,Compound-complex,Present
Walk slowly in the hallway to avoid accidents.,English,Complex,Present
"আমি পাখিদের ডাক শুনছিলাম, আর সূর্য উঠছিল।",Bangla,Compound,Past
"আমরা ক্যাফেতে দুপুরের খাবার খাবো, এবং শেফের সুপারিশকৃত নতুন মিষ্টান্ন ট্রাই করব।",Bangla,Compound-complex,Future
When did they play soccer?,English,Simple,Past
তারা স্কুলের পর গাছে থেকে আপেল তোলেছিল।,Bangla,Complex,Past
"We want to help those in need, so I will organize a charity event.",English,Compound,Future
"তারা কি বিকেলে স্ন্যাক্স খায়, নাকি ডায়েটের কারণে রাতের খাবার পর্যন্ত অপেক্ষা করে?",Bangla,Compound-complex,Present
"Turn the pages slowly, and don’t damage the book.",English,Compound,Present
একটি রঙিন ঘুড়ি কত উঁচু আকাশে উড়ে!,Bangla,Compound,Present
আমি সপ্তাহান্তে বাড়িতে থাকতে পছন্দ করব।,Bangla,Simple,Future
আমার কজ প্রতি মাসে আমাদের কাছে আসে যখন সে শহরে থাকে।,Bangla,Complex,Present
What a wonderful gift you bring when no one expected it!,English,Complex,Present
"Do they enjoy watching movies, or do they prefer reading books?",English,Compound,Present
"The baby crawls around the room, and she grabs toys if they’re within reach.",English,Compound-complex,Present
"How fluently they speak French, and how confidently they hold conversations!",English,Compound,Present
তারা ছুটির দিনে কী করবে?,Bangla,Simple,Future
সে স্কুল ইভেন্টের জন্য কুকি বেক করেছিল।,Bangla,Simple,Past
How fresh the bread smells!,English,Simple,Present
The cat will chase the laser pointer.,English,Simple,Future
"Do you know whether we meet at the café after work, or do we choose other places?",English,Compound,Present
"I wrote a letter to my friend, and I mailed it this morning.",English,Compound,Past
"যত ভারই চাপানো হোক না কেন, সেতুটি কত দৃঢ়ভাবে দাঁড়িয়ে থাকে!",Bangla,Complex,Present
"She washes her hands before meals, for she cares about cleanliness.",English,Compound,Present
তুমি অনুগ্রহ করে বুধবার তোমার জিমের কাপড় নিয়ে যাবে।,Bangla,Simple,Future
"ফোন সাইলেন্ট মোডে রাখো, আর যদি বারবার বেজে ওঠে তাহলে বন্ধ করে দাও।",Bangla,Compound-complex,Present
"সে তার নোটবুকে একটি গল্প লিখেছিল, আর সে সেটা বন্ধুদের সঙ্গে ভাগ করতে চেয়েছিল।",Bangla,Compound,Past
"What a tasty sandwich you make even though you had few ingredients, and how satisfying it tastes!",English,Compound,Present
The dog slept on the porch while the family was inside.,English,Complex,Past
"সে টুটে যাওয়া চেয়ারটি ঠিক করল, যখন সে হারিয়ে যাওয়া স্ক্রু পেল।",Bangla,Compound,Past
"My uncle grows vegetables in his garden, and he shares them with neighbors.",English,Compound,Present
পৃথিবী দিবস উপলক্ষে তারা পার্কে গাছ লাগিয়েছিল।,Bangla,Complex,Past
"Do we visit museums often, or only on special occasions when there’s a new exhibit?",English,Compound-complex,Present
Do you enjoy listening to pop music?,English,Simple,Present
"সপ্তাহান্তে দাদা-দাদীকে ফোন করো, এবং তারা ফ্রি থাকলে কিছুক্ষণ কথা বলো।",Bangla,Compound-complex,Present
Take the dog for a walk every evening after dinner.,English,Complex,Present
"What a warmly comforting cup of tea this is on a cold day, and how freshly cooling the breeze that blows through the open window is!",English,Compound,Present
রাতের খাবারের পরে বাবা-মার বাসন ধোয়ার সাহায্য করো।,Bangla,Complex,Present
Don’t forget to lock the gate.,English,Simple,Present
"তুমি কি কফি বা চা পছন্দ করো, নাকি অন্য কোনো পানীয় বেছে নাও?",Bangla,Compound,Present
"কী বুদ্ধিদীপ্ত একটি ধারণা তোমার, যে সমস্যাটি সবাইকে বিভ্রান্ত করছিল সেটির সমাধানে, আর কী মিষ্টিভাবে বনমৌমাছির মধু স্বাদ দেয় তাজা রুটির ওপর!",Bangla,Compound-complex,Present
"সে যখনই আমাদের সাথে দেখা করে, কী মজার কৌতুক বলে!",Bangla,Complex,Present
Listen to music while studying and stay focused.,English,Compound,Present
"আমরা প্রতিরাতে একসঙ্গে রাতের খাবার রান্না করি কারণ এটা আমাদের পারিবারিক ঐতিহ্য, এবং সময় পেলে নতুন রেসিপি চেষ্টা করি।",Bangla,Compound-complex,Present
"যখন বাতাস কানে সাঁই সাঁই করে বয়ে যায়, তখন সাইকেল আরোহী কত দ্রুত চলে!",Bangla,Complex,Present
"The dog chases its tail when it feels playful, but it stops quickly if someone calls it.",English,Compound-complex,Present
"আমি দুপুরের খাবার শেষ করব, এবং একটু বিশ্রাম নেব।",Bangla,Compound,Future
"Take the dog to the park, and play fetch with it while the sun is out.",English,Compound-complex,Present
বাসটি কি এখানে থামবে?,Bangla,Simple,Future
পাখিরা ভোরে গান গাইবে।,Bangla,Simple,Future
"সে কাঁচি দিয়ে প্যাকেজটি খুলল, আর সেটা শক্তভাবে টেপ ছিল।",Bangla,Compound,Past
কেউ আশা না করলেও তুমি কী চমৎকার উপহার নিয়ে আসো!,Bangla,Complex,Present
"My dad will fix cars, and he will teach me how to repair them too.",English,Compound,Future
পরবর্তী মাস শুরু হলে সে তার নতুন কোর্স শুরু করবে।,Bangla,Complex,Future
"সে গ্রীষ্মকালে প্রাকৃতিক দৃশ্য আঁকে, আর তখন দৃশ্যপট সবচেয়ে সুন্দর হয়।",Bangla,Compound,Present
Does the train arrive on time?,English,Simple,Present
"The dog feels safe there, so it will sleep in the kennel tonight.",English,Compound,Future
আমি বাথরুম ভালভাবে পরিষ্কার করেছিলাম।,Bangla,Simple,Past
You will please answer the door when it rings.,English,Simple,Future
"আমরা নতুন শহরের ক্যাফেতে দুপুরের খাবার খেয়েছিলাম কারণ খাবারটি সুস্বাদু দেখাচ্ছিল, এবং সেবাটি চমৎকার ছিল।",Bangla,Compound-complex,Past
How smoothly the skater glided on the ice!,English,Simple,Past
"Do we visit the zoo on weekends, or do we go somewhere else?",English,Compound,Present
We ate lunch at a new restaurant because we wanted to try something different.,English,Complex,Past
"বৃষ্টির দিনে আমরা বোর্ড গেম খেলব, কারণ এটি বাড়ির ভিতরে খেলার সেরা কার্যকলাপ।",Bangla,Complex,Future
"What a cutely playful puppy that is wagging its tail, yet how freshly the bread that was just baked smells!",English,Compound,Present
সে কেন পার্টি থেকে আগে যাবে?,Bangla,Simple,Future
They painted eggs for Easter.,English,Simple,Past
তুমি অনুমতি ছাড়া ডিভাইস চার্জ করবে না।,Bangla,Simple,Future
Will you read this book next week?,English,Simple,Future
"What a warm smile she shares, and how quickly it brightens everyone’s day!",English,Compound,Present
Why did they postpone the event?,English,Simple,Past
আমি কাজের আগে কফি খাই কারণ তা আমাকে জাগিয়ে রাখে।,Bangla,Complex,Present
"বাতাস গাছের মধ্যে বইছে, এবং পাতা বাতাসে নাচতে নাচতে গোপন কথা ফিসফিস করছে মনে হয়।",Bangla,Compound-complex,Present
He fed the fish in the aquarium after cleaning the tank.,English,Complex,Past
Will he call his mother every evening?,English,Simple,Future
"কুকুরটি উঠানের ওপর দিয়ে দৌড়াল, এবং বাচ্চারা হাসছিল কারণ এটি আনন্দের সাথে খেলছিল।",Bangla,Compound-complex,Past
"সূর্য অস্ত যাওয়ার সময় ভ্যালিতে কত ঠাণ্ডা হাওয়া বইছে, আর কত সতেজভাবে বাতাস ঠান্ডা করছে!",Bangla,Compound,Present
We drove to the countryside on Sunday because we needed a break from the city.,English,Complex,Past
How warmly the sun warmed our faces!,English,Simple,Past
How brightly the room lit up!,English,Simple,Past
"How calm the ocean looks today although the winds were strong yesterday, and how smooth the waves roll under the sun!",English,Compound-complex,Present
"My sister enjoys reading novels, and she studies English every night.",English,Compound,Present
"I fixed the broken chair, and now it’s safe to sit on because I tightened all the screws.",English,Compound-complex,Past
"They prepare the soil, and then they plant flowers in the garden after the frost has passed.",English,Compound-complex,Present
"যত কোমল মস লেগে পায় যখন তুমি বনে হাঁটো, আর তা কত স্নিগ্ধভাবে প্রতিটি পা নরম করে যদিও তুমি ক্লান্ত!",Bangla,Compound-complex,Present
"শিক্ষক প্রতিদিন হোমওয়ার্ক দেন, এবং ক্লাস শুরুতে তা পরীক্ষা করেন।",Bangla,Compound-complex,Present
Turn off the lights before you leave.,English,Simple,Present
"আমি রান্নাঘর পরিষ্কার করব, এবং ডিনারের পরে আবর্জনা বের করব।",Bangla,Compound-complex,Future
সকালের সূর্য জানালা দিয়ে কত উজ্জ্বলভাবে ঢুকবে!,Bangla,Simple,Future
Spend time reading novels.,English,Simple,Present
"How fast the car speeds down the road, and how safely the driver handles it, although the traffic is heavy this evening!",English,Compound-complex,Present
How wonderfully she teaches yoga on Saturdays!,English,Simple,Present
Share your ideas in group work so everyone benefits from your thoughts.,English,Complex,Present
"She will bake a pie for Thanksgiving, and everyone will enjoy her recipes.",English,Compound,Future
"বইগুলো কত গোছানোভাবে সাজানো, আর একটি খুঁজে পাওয়া কত সহজ!",Bangla,Compound,Present
"Keep your promises because people trust you, and explain if you can’t follow through.",English,Compound-complex,Present
"সে নিয়মিত জিমে ব্যায়াম করে যদিও মাঝে মাঝে ক্লান্ত অনুভব করে, এবং নিজেকে উন্নত করতে ধাক্কা দেয়।",Bangla,Compound-complex,Present
"Watch some TV after dinner, or read a book instead.",English,Compound,Present
প্রতি সপ্তাহে জানালা ধোও।,Bangla,Simple,Present
"সে পানি বন্ধ করবে, এবং লিক করা পাইপ ঠিক করবে।",Bangla,Compound,Future
সে ক্লান্ত অনুভব করলেও তার গণিত কুইজের জন্য পড়াশোনা করেছিল।,Bangla,Complex,Past
আমি গতকাল একটি নতুন নোটবুক কিনলাম।,Bangla,Simple,Past
আস্তে এবং পরিষ্কারভাবে কথা বলো।,Bangla,Simple,Present
We enjoy family dinners.,English,Simple,Present
"সে তার ডেস্কে লাঞ্চ খায়, এবং কাজ চালিয়ে যায় কারণ সাধারণত খুব ব্যস্ত থাকে।",Bangla,Compound-complex,Present
"How sharply the eagle flies as it soars high above the mountain peaks in search of prey, and how gracefully it rides the cold currents of the wind!",English,Compound-complex,Present
I wrote notes in my notebook.,English,Simple,Past
"I bought a new notebook yesterday, for my old one was full, and I needed more pages.",English,Compound-complex,Past
"Be proud of your work, and keep trying even when it’s hard.",English,Compound,Present
"শিশুটি হাসবে, এবং সে সুখী ও আরামদায়ক বোধ করবে।",Bangla,Compound,Future
How gently the breeze blows!,English,Simple,Present
গাড়িগুলো কত দ্রুত দৌড়াবে!,Bangla,Simple,Future
"Turn on the fan if you feel hot, and open a window too.",English,Compound,Present
"তার কত সুন্দর কণ্ঠস্বর, আর সে কত সুন্দর গান গায়!",Bangla,Compound,Present
"সে কাপড় দিয়ে তার জুতা পরিষ্কার করছিল, কারণ সে কাদা মাড়িয়ে হেঁটেছিল।",Bangla,Compound,Past
Does he enjoy reading books?,English,Simple,Present
"What a beautiful sunset paints the sky, while the last birds fly home to their nests!",English,Complex,Present
Do the kids play soccer on Saturdays?,English,Simple,Present
"I will learn to swim, and I will go to the pool often when summer begins.",English,Compound-complex,Future
"বেকারিটি কি সকাল ৬টায় খোলে, আর কি তারা কফিও পরিবেশন করে?",Bangla,Compound,Present
কুকুরটি কি বাড়ির ভিতরে ঘুমিয়েছিল?,Bangla,Simple,Past
"Does she play tennis because it keeps her active, or does she stop during winter when the courts close?",English,Compound-complex,Present
"আত্মবিশ্বাস নিয়ে নাচো, এবং মঞ্চে হাসিমুখে থাকো।",Bangla,Compound,Present
Drink a glass of water every hour so you stay hydrated.,English,Complex,Present
"আমি পার্কের চারপাশে সাইকেল চালিয়েছিলাম গান শুনতে শুনতে, এবং নিজেকে খুবই প্রশান্ত অনুভব করছিলাম।",Bangla,Compound-complex,Past
"The baby slept through the night even though there was noise outside, and the parents finally got some rest.",English,Compound-complex,Past
"যখন তোমার বন্ধু পড়ে যায়, তাদের সাহায্য করো যাতে তারা আহত না হয়।",Bangla,Complex,Present
"Do the children like to swim, or do they prefer playing other sports when the weather is warm?",English,Compound-complex,Present
"বৃষ্টির দিনে ছাতা নিতে ভুলোনা, আর আবহাওয়া খারাপ হলে জলরোধী জুতা পরো।",Bangla,Compound-complex,Present
We wash our hands after gardening because they get dirty.,English,Complex,Present
"They will go camping in the mountains if the weather stays nice, and they will tell stories by the fire.",English,Compound-complex,Future
How soft the pillow feels!,English,Simple,Present
"হাসপাতালে কাজ করো, যেখানে তুমি অনেক মানুষকে সাহায্য করতে পারো।",Bangla,Complex,Present
"সে কি দ্রুত গাড়ি চালায় কারণ সে তাড়ায় থাকে, এবং সে কি ট্রাফিক নিয়ম মেনে চলে?",Bangla,Compound-complex,Present
"Write your homework in your notebook, and underline the title so it looks neat.",English,Compound-complex,Present
"Does he help his parents at home, or does he focus on his own tasks?",English,Compound,Present
"যদিও তুমি দ্রুত লিখেছ, তবুও তোমার হাতের লেখা কত সুন্দর, আর এটা পড়া কত সহজ কারণ এটি স্পষ্ট!",Bangla,Compound-complex,Present
"কাজ করার সময় সংগীত শুনো, যদি তা তোমাকে মনোযোগ হারাতে না বাধ্য করে।",Bangla,Complex,Present
"আমরা প্রতি শুক্রবার ঘর পরিষ্কার করি, আর এটি পরিপাটি থাকে।",Bangla,Compound,Present
"He will buy tickets, and he will check showtimes.",English,Compound,Future
আমি প্রতিরাতে ইংরেজি পড়ব যাতে আমি সাবলীলভাবে কথা বলতে পারি।,Bangla,Complex,Future
আকাশে ছড়িয়ে থাকা তারাগুলো কত সুন্দর ঝলমল করছে তা উপরে তাকিয়ে দেখে প্রশংসা করো!,Bangla,Complex,Present
"বৃষ্টি হলে আমরা জাদুঘর দেখতে যাই, কারণ এটা ভালো ইনডোর কার্যকলাপ।",Bangla,Compound,Present
আমরা কত সুস্বাদু নাস্তা করব!,Bangla,Simple,Future
"We will watch the sunset by the lake when the sky is clear, and we will take pictures to remember the moment.",English,Compound-complex,Future
তারা আগামী বছর কানাডা ভ্রমণ করবে।,Bangla,Simple,Future
"The train will leave at 9 a.m., and we will miss it if we don’t arrive early.",English,Compound-complex,Future
"দোকান কখন খোলে, এবং খোলার সাথে সাথেই কি ভিড় হয়?",Bangla,Compound-complex,Present
"I water the garden every evening, and I remove weeds so the plants can grow.",English,Compound-complex,Present
আমি কাজ করার সময় সঙ্গীত শুনি।,Bangla,Simple,Present
"তারা কি স্কুলের পর ভিডিও গেম খেলে যদি হোমওয়ার্ক না থাকে, নাকি সপ্তাহান্ত পর্যন্ত অপেক্ষা করে?",Bangla,Compound-complex,Present
What a colorful mural decorates the wall where the sunlight hits!,English,Complex,Present
আমরা কত শান্ত দুপুর একসাথে কাটালাম!,Bangla,Simple,Past
You will please reset your password every month.,English,Simple,Future
"I drank a glass of orange juice after exercising, and I felt refreshed afterward.",English,Compound-complex,Past
Does she love animals because she grew up with pets at home?,English,Complex,Present
"যত কোমল বাতাস শীতল করে বিকেলকে যখন গরম কেটে যায়, আর কত মৃদুভাবে স্পর্শ করে তোমার ত্বক যখন তুমি ছায়ায় বসো!",Bangla,Compound-complex,Present
"তোমার বাবা-মায়ের কথা মন দিয়ে শোনো যখন তারা পরামর্শ দেয় কারণ তারা তোমার খেয়াল রাখে, আর তাদের নির্দেশনা মনোযোগ দিয়ে পালন করো।",Bangla,Compound-complex,Present
"How sharp let the scissors cut when you handle them carefully, but be sure that the knife stays safely stored!",English,Compound-complex,Present
Where will we meet after class?,English,Simple,Future
"সূর্য যখন মাথার ওপর থাকে, হালকা বাতাস কতটা প্রশান্তি আনে!",Bangla,Complex,Present
তুমি কি জানো তুমি কি গল্প লেখো?,Bangla,Complex,Present
"Do they enjoy hiking in the mountains, or do they like walking in the park when the trails are closed?",English,Compound-complex,Present
Will they adopt a pet?,English,Simple,Future
"শিক্ষক অন্যথা না বললে ক্লাস চলাকালে বসে থাকো, এবং কথা বলার জন্য হাত তুলো।",Bangla,Compound-complex,Present
তারা আগামী মাসে ক্যাম্পিংয়ে যাবে।,Bangla,Simple,Future
আমরা জন্মদিন কেক দিয়ে উদযাপন করি যদিও তা একটি ছোট জমায়েত হয়।,Bangla,Complex,Present
"The plane lands at the airport, but the passengers must wait to exit.",English,Compound,Present
"I write notes during the lecture, and I highlight key points so I can study more easily.",English,Compound-complex,Present
"Take a deep breath when you feel stressed, and count to ten before you respond.",English,Compound-complex,Present
"তোমার জুতা সুন্দর করে রাখো, এবং সেগুলো র‍্যাকের ওপর রেখে দাও যাতে কেউ পড়ে না যায়।",Bangla,Compound-complex,Present
"What a cleverly thought-out idea you have to solve the problem that puzzled us all, and how sweetly the honey that comes from the wild bees tastes on fresh bread!",English,Compound-complex,Present
"Eat your vegetables every day, and maintain a healthy diet.",English,Compound,Present
"সে যে সুন্দর ডিজাইন করা পোশাকটা পরেছে পার্টিতে, আর সময় মাপার ঘড়িটা কত দ্রুত চলছে!",Bangla,Compound,Present
"আমি আজ রাতে পরীক্ষার জন্য পড়াশোনা করব, কিন্তু আমি একটু ক্লান্ত বোধ করছি।",Bangla,Compound,Future
I cooked spaghetti for dinner.,English,Simple,Past
"বাটি ডিশওয়াশারে রাখো, এবং টেবিল মুছে ফেলো।",Bangla,Compound,Present
"How brightly the neon signs glow in the city streets when night falls, and how they light up the faces of those who wander the bustling avenues!",English,Compound-complex,Present
সূর্যাস্তটা কত সুন্দর!,Bangla,Simple,Present
What a beautiful flower blossomed in the garden!,English,Simple,Past
পেস্ট্রি বের হলে বেকারিতে কী সুস্বাদু গন্ধ ছড়িয়ে পড়ে!,Bangla,Complex,Present
"ফুল ফুটেছে, তাই তারা বোটানিক্যাল গার্ডেন পরিদর্শন করবে।",Bangla,Compound,Future
You will not stay in the shower too long.,English,Simple,Future
Take your umbrella when it rains so you don’t get wet.,English,Complex,Present
"সে কি জার্মান বলতে পারে, এবং সে কি অন্য ভাষাও বলতে পারে যেহেতু সে শেখা পছন্দ করে?",Bangla,Compound-complex,Present
"Take off your hat indoors, and hang it on the rack.",English,Compound,Present
সে উপহার কোথায় কিনবে?,Bangla,Simple,Future
Use your planner every day to stay organized.,English,Complex,Present
আমরা রবিবার গির্জায় যাই।,Bangla,Simple,Present
রাত নিস্তব্ধ হলে তারা কত উজ্জ্বলভাবে টিম টিম করে!,Bangla,Complex,Present
Does she jog every morning?,English,Simple,Present
What a wonderful book I read!,English,Simple,Past
"Do birds migrate in autumn, or do some stay all year round?",English,Compound,Present
"What a calm sea stretches before us, and how peaceful the moment feels!",English,Compound,Present
তুমি কি জানো বাচ্চাটি শান্তভাবে ঘুমাবে?,Bangla,Complex,Present
কী নরম কম্বল আমাকে গরম রাখে!,Bangla,Simple,Present
Keep your backpack organized.,English,Simple,Present
"অন্ধকার হলে আলো চালু করো যাতে ভালো দেখো, এবং ঘর থেকে বের হওয়ার সময় সেগুলো বন্ধ করো যাতে বিদ্যুৎ সাশ্রয় হয়।",Bangla,Compound-complex,Present
Don’t forget your lunch.,English,Simple,Present
Eat your vegetables before dessert.,English,Simple,Present
"তারা কি রোববার ফুটবল দেখে যদি খেলা গুরুত্বপূর্ণ হয়, নাকি তারা অন্য খেলাগুলো বেশি পছন্দ করে?",Bangla,Compound-complex,Present
"সে তার খালার কাছে গিয়েছিল, আর তার খালা হাসপাতালে ছিলেন।",Bangla,Compound,Past
We visit the museum on holidays when we have more free time.,English,Complex,Present
"আমরা রাতের খাবার খাব, এবং কার্ড খেলব।",Bangla,Compound,Future
Will they join the group chat?,English,Simple,Future
"স্কুলে ব্যাকপ্যাক নিয়ে যাও, এবং হোমওয়ার্ক নিতে ভুলবে না।",Bangla,Compound,Present
প্রতিদিন সকালে ওষুধ খাও।,Bangla,Simple,Present
তুমি অনুগ্রহ করে সকালে তোমার শিক্ষককে অভিবাদন জানাবে।,Bangla,Simple,Future
তিনি যে সুন্দর গানটি গাইছেন তা কত সুন্দর কণ্ঠে গাইছেন শুনো!,Bangla,Complex,Present
"কী শক্তিশালী একতা এদের দলে থাকে মাঠে যখন চাপ বেশি থাকে, তবু কী উজ্জ্বলভাবে তারা আলো দেয় রাতের আকাশে স্টেডিয়ামের ওপরে!",Bangla,Compound-complex,Present
